step,secs,tou_price,s0_c1,s0_c2,s0_c3,s0_c4,s0_c5,s0_active_load_kw,pv_0,s1_c1,s1_c2,s1_c3,s1_c4,s1_c5,s1_active_load_kw,pv_1,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_active_load_kw,pv_2,s3_c1,s3_c2,s3_c3,s3_c4,s3_c5,s3_active_load_kw,pv_3,s4_c1,s4_c2,s4_c3,s4_c4,s4_c5,s4_active_load_kw,pv_4,temperature_c,humidity_pct,cloud_amount,precipitation_mm,snow_cm,wind_speed_ms,wind_direction_deg,pressure_hpa,sea_level_pressure_hpa,solar_radiation_mj_m2,current_PTY
6,2400,84.5,0,0,0,0,0,0.0,0.0,0,0,0,0,0,20.814,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,8.548,0.0,10.725,91.25,6.25,0.0,0.0,2.85,250.0,998.925,1009.225,0.03,0
6,3000,84.5,0,0,0,0,0,0.0,0.0,0,1,0,0,0,46.122,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,1,1,0,12.953,0.0,10.775,91.083,6.75,0.0,0.0,2.75,250.0,998.908,1009.208,0.037,0
7,0,111.9,0,0,0,0,0,0.0,0.0,0,1,0,0,0,46.241,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,1,1,0,12.968,0.0,10.9,90.667,6.917,0.0,0.0,2.767,230.0,998.983,1009.275,0.047,0
7,600,111.9,0,0,0,0,0,0.0,0.335,0,1,0,0,0,46.279,0.336,0,0,0,0,0,0.0,0.351,0,0,1,0,0,5.503,0.351,0,0,1,1,0,12.953,0.326,11.1,90.001,6.75,0.0,0.0,2.9,230.0,999.15,1009.425,0.06,0
7,1200,111.9,0,0,0,0,0,0.0,0.633,0,1,0,0,0,46.319,0.676,0,0,0,0,0,6.823,0.662,0,0,1,0,0,6.462,0.675,0,0,1,1,0,12.986,0.633,11.3,89.334,6.583,0.0,0.0,3.033,230.0,999.317,1009.575,0.073,0
7,1800,111.9,0,0,0,0,0,0.0,0.796,0,1,0,0,0,46.222,0.816,0,1,0,0,0,46.174,0.782,0,1,1,0,0,29.834,0.811,0,0,1,1,0,33.49,0.803,11.5,88.667,6.417,0.0,0.0,3.167,230.0,999.483,1009.725,0.087,0
7,2400,111.9,0,0,0,0,0,0.0,0.932,0,1,0,0,0,25.103,0.915,0,1,0,0,0,46.276,0.921,0,1,1,1,0,56.453,0.967,0,1,1,1,0,59.185,0.942,11.7,88.001,6.25,0.0,0.0,3.3,230.0,999.65,1009.875,0.1,0
7,3000,111.9,0,0,0,0,0,0.677,1.111,0,0,0,0,0,0.0,1.13,0,1,0,0,0,47.717,1.104,0,1,1,1,0,59.269,1.095,0,1,1,1,0,43.654,1.169,11.9,87.334,6.083,0.0,0.0,3.433,230.0,999.817,1010.025,0.113,0
8,0,111.9,0,1,1,0,0,46.264,1.152,0,0,0,0,0,0.0,1.176,0,1,0,0,1,52.675,1.188,0,1,1,1,0,59.659,1.146,0,0,1,1,0,14.272,1.15,12.058,86.667,6.083,0.0,0.0,3.525,200.0,999.892,1010.092,0.121,0
8,600,111.9,0,1,1,0,0,52.654,1.143,0,0,0,0,0,0.0,1.152,0,1,1,0,1,59.175,1.149,0,1,1,1,1,70.692,1.157,0,0,1,1,1,39.922,1.155,12.175,86.001,6.25,0.0,0.0,3.575,200.0,999.875,1010.075,0.122,0
8,1200,111.9,0,1,1,0,0,52.688,1.137,0,0,0,0,0,20.594,1.143,0,1,1,0,1,56.778,1.135,1,1,1,1,1,111.801,1.141,1,0,1,1,1,49.728,1.139,12.292,85.334,6.417,0.0,0.0,3.625,200.0,999.858,1010.058,0.124,0
8,1800,111.9,0,0,1,0,0,19.527,1.132,1,0,1,0,0,52.698,1.104,0,1,1,0,1,63.076,1.105,1,1,1,0,1,106.686,1.122,1,1,1,1,1,93.961,1.127,12.408,84.667,6.583,0.0,0.0,3.675,200.0,999.842,1010.042,0.126,0
8,2400,111.9,0,0,1,0,0,10.556,1.092,1,0,1,0,0,58.918,1.063,1,1,1,0,1,102.574,1.061,1,1,1,0,1,105.169,1.112,1,1,1,1,1,87.778,1.089,12.525,84.001,6.75,0.0,0.0,3.725,200.0,999.825,1010.025,0.128,0
8,3000,111.9,0,0,1,0,0,6.471,1.063,1,1,1,0,0,98.875,1.077,1,0,1,0,1,64.234,1.068,1,1,1,0,1,105.692,1.063,0,0,1,1,1,35.678,1.061,12.642,83.334,6.917,0.0,0.0,3.775,200.0,999.808,1010.008,0.129,0
